function,equanimity_subsets,equanimity_subsets_normalized,equanimity_importance,entanglement
1001111111111011,-0.990885,0.763021,0.375,6
111010111010111,-3.32422,0.59375,0.4375,6
1101010000110101,-2.91667,0.548177,0.5,7
1100100011010111,-2.91797,0.554688,0.5,8
000011101,-2.22917,0.661458,0.375,6
000001100110111,-2.91797,0.554688,0.5,6
1010011111010011,-1.27604,0.641927,0.5625,7
001101110010001,-4.45964,0.481771,0.375,6
1100000000111111,-2.58333,0.557292,0.5,4
011011001010011,-1.70833,0.611979,0.625,7
1101110100011,-3.39583,0.518229,0.4375,7
110101100101011,-2.02214,0.598958,0.5625,6
1111010001010001,-4.3125,0.496094,0.4375,7
0000000100101111,-4.29688,0.511719,0.375,7
0000011010110111,-3.16667,0.544271,0.5,8
0100111010101101,-2.60547,0.585938,0.5625,7
0111010011010001,-3.75,0.53125,0.5,6
0100000000011101,-2.65755,0.611979,0.4375,7
01100011101,-2.42188,0.59375,0.5,6
0001111110101111,-3.47005,0.572917,0.375,6
100010001100101,-4.29688,0.511719,0.375,7
01011011110111,-1.83854,0.606771,0.5,8
10110110100001,-2.02214,0.598958,0.5625,6
010001100001,-1.41667,0.700521,0.4375,7
1001101001100101,-0.666667,0.677083,0.75,4
10001101000111,-2.83464,0.559896,0.5,8
010101011100011,-2.91667,0.548177,0.5,6
1001111010011001,-1.29297,0.632812,0.625,5
1101110011000011,-2.02214,0.598958,0.5625,6
000100010110111,-2.02214,0.598958,0.5625,6
0010001101111,-2.02214,0.598958,0.5625,8
0110101001110001,-1.77083,0.596354,0.5625,8
01101000110001,-2.60938,0.605469,0.5625,7
001010010011011,-1.8138,0.635417,0.6875,7
0110001100010011,-3.5013,0.541667,0.5,7
0011111110110111,-2.5625,0.652344,0.375,5
1111111010011001,-1.84505,0.651042,0.5,6
011101001100101,-1.77083,0.596354,0.5625,8
1001110101000101,-3.5,0.535156,0.5,6
01101101000111,-2.29167,0.598958,0.625,6
001000110101,-2.07422,0.625,0.4375,5
1100111011100011,-1.83854,0.606771,0.5,6
1011000000101001,-2.02604,0.61849,0.5625,7
110011111000101,-4.45964,0.481771,0.375,4
010110000101001,-1.83854,0.606771,0.5,5
0111110010100101,-1.20964,0.638021,0.625,7
1010100110111101,-1.83854,0.606771,0.5,6
1100111000100111,-2.2513,0.572917,0.5,8
011110010101101,-1.29297,0.632812,0.625,5
1110100010011,-3.5013,0.541667,0.5,6
101011000111001,-1.77083,0.596354,0.5625,8
1000101101101111,-3.00521,0.580729,0.5,7
01001001000011,-2.51172,0.632812,0.5,5
110010000011011,-1.29297,0.632812,0.625,5
010011011100111,-4.3138,0.502604,0.4375,7
10111000010001,-2.08854,0.602865,0.5,6
1001011100000001,-3.42188,0.566406,0.5,7
0100110010001101,-4.23047,0.507812,0.4375,7
1100101000011111,-2.2513,0.572917,0.5,7
0111011011111,-2.42188,0.59375,0.5,7
000001001100111,-4.29688,0.511719,0.375,7
011100101000101,-2.2513,0.572917,0.5,7
010101100110101,-1.125,0.625,0.625,7
01001110000101,-2.42188,0.59375,0.5,6
0110111011100101,-1.27604,0.641927,0.5625,7
0011110010100111,-1.20964,0.638021,0.625,7
1000011101010011,-2.10417,0.58724,0.5625,8
1000101000100101,-1.60938,0.632812,0.5625,7
00010110010001,-1.92839,0.645833,0.5,7
101010111011001,-4.3138,0.502604,0.4375,7
010000100000111,-2.07422,0.625,0.4375,7
01100100110101,-3.5013,0.541667,0.5,6
0000001100000111,-4.28255,0.533854,0.3125,5
001000110111101,-3.16667,0.544271,0.5,8
110000100000101,-2.07422,0.625,0.4375,5
0101010000100101,-2.42188,0.59375,0.5,7
111101111111001,-3.04167,0.622396,0.3125,6
100001011010111,-2.58333,0.557292,0.5,8
1010100011111011,-4.29688,0.511719,0.375,7
11010011101101,-1.79297,0.625,0.625,7
0011100001101111,-2.02214,0.598958,0.5625,8
0010101001001011,-2.83464,0.559896,0.5,8
0110001001011,-1.27604,0.641927,0.5625,7
0111011111011,-2.08854,0.602865,0.5,6
1111110101000101,-4.29688,0.511719,0.375,7
100001000111,-1.92839,0.645833,0.5,7
0001010000001111,-3.23438,0.554688,0.4375,7
1011110011000011,-0.980469,0.664062,0.6875,6
1111001111111101,-1.72005,0.729167,0.3125,6
1000101110000111,-2.91667,0.548177,0.5,6
10110111101,-3.72917,0.509115,0.4375,6
0111001000000001,-2.65755,0.611979,0.4375,7
100101110011001,-2.6875,0.574219,0.5625,7
010010000110001,-1.26172,0.664062,0.5,6
1101100111001011,-1.50521,0.615885,0.5,7
1100000001010011,-2.31771,0.576823,0.4375,7
10011001101001,-1.20964,0.638021,0.625,7
0101011100010011,-4.79167,0.466146,0.375,6
0110110111,-2.6888,0.580729,0.5625,7
1010000011011001,-2.83464,0.559896,0.5,7
00100101001101,-1.83854,0.606771,0.5,7
11000101111101,-3.64714,0.520833,0.4375,6
1000010110101111,-3.0638,0.533854,0.4375,6
0111111110001001,-2.67188,0.589844,0.5,7
1000001001011,-1.11589,0.684896,0.5625,6
0001010111100101,-2.91667,0.548177,0.5,6
00110110111111,-1.83854,0.606771,0.5,7
0000111000001001,-3.32422,0.59375,0.4375,6
11100111001101,-2.02214,0.598958,0.5625,7
0000001111110111,-4.45964,0.481771,0.375,6
1100100000000111,-1.83854,0.606771,0.5,7
0110001010101001,-1.79297,0.625,0.625,7
1111011010011111,-0.604167,0.739583,0.5,5
100111011100001,-1.54167,0.622396,0.625,8
1011001110010001,-3.39583,0.518229,0.4375,6
101111110001011,-3.00521,0.580729,0.5,7
0011100010000001,-1.03255,0.690104,0.5625,7
01111111111,-2.90104,0.563802,0.4375,7
0001011101100011,-3.10417,0.559896,0.5625,8
1110010001001101,-2.91667,0.548177,0.5,7
011110000111111,-1.83854,0.606771,0.5,6
0110100100011101,-1.47917,0.638021,0.6875,8
0011111110010111,-2.51172,0.632812,0.5,5
0101100001110101,-3.16667,0.544271,0.5,6
1101110011010011,-2.08854,0.602865,0.5,6
0100100111111101,-3.00521,0.580729,0.5,7
1110110101101101,-1.84505,0.651042,0.5,6
0110011010111011,-1.85938,0.628906,0.5625,5
1000000101100001,-1.11589,0.684896,0.5625,6
00011011111001,-0.958333,0.635417,0.625,7
0111100101100011,-1.79297,0.625,0.625,7
0111001111110101,-3.47005,0.572917,0.375,6
1100111100011,-3.16667,0.544271,0.5,6
0101111111101101,-1.75,0.691406,0.4375,6
110011101100001,-3.39583,0.518229,0.4375,6
0101010010000001,-1.84505,0.651042,0.5,7
111100001101011,-3.5013,0.541667,0.5,7
1011000100100101,-2.2513,0.572917,0.5,8
01100001010101,-2.60938,0.605469,0.5625,7
1010000011,-3.04167,0.622396,0.3125,6
11100111101101,-1.60938,0.632812,0.5625,8
00000001000111,-1.75,0.691406,0.4375,6
1011011111000101,-1.83854,0.606771,0.5,8
1010101000111101,-2.2513,0.572917,0.5,7
0000010011,-1.72005,0.729167,0.3125,6
10111111000001,-4.79167,0.466146,0.375,6
111101101001,-3.75,0.53125,0.5,6
11110101110101,-4.63021,0.502604,0.375,5
101000000111,-3.47005,0.572917,0.375,6
00101110111111,-2.31771,0.576823,0.4375,7
